"reserved_room_type" "stays_in_week_nights" "stays_in_weekend_nights" "children" "babies"
"49104" "A" 1 0 0 0
"49105" "A" 1 0 0 0
"49106" "A" 1 0 0 0
"49107" "A" 1 0 0 0
"49108" "A" 1 0 0 0
"49109" "A" 1 0 0 0
"49110" "A" 1 0 0 0
"49111" "A" 1 0 0 0
"49112" "A" 1 0 0 0
"49113" "A" 1 0 0 0
"49114" "A" 1 0 0 0
"49115" "A" 1 0 0 0
"49116" "A" 1 0 0 0
"49117" "D" 1 0 0 0
"49118" "A" 1 0 0 0
"49119" "A" 1 0 0 0
"49120" "A" 1 0 0 0
"49121" "A" 1 0 0 0
"49122" "A" 1 0 0 0
"49123" "A" 1 0 0 0
"49124" "A" 1 0 0 0
"49125" "A" 1 0 0 0
"49126" "A" 1 0 0 0
"49127" "A" 1 0 0 0
"49128" "A" 1 0 0 0
"49129" "A" 1 0 0 0
"49130" "A" 1 0 0 0
"49131" "A" 1 0 0 0
"49132" "A" 1 0 0 0
"49133" "A" 1 0 0 0
"49134" "A" 2 0 0 0
"49135" "A" 2 0 0 0
"49136" "A" 2 0 0 0
"49137" "D" 3 0 0 0
"49138" "A" 3 0 0 0
"49139" "A" 3 0 0 0
"49140" "A" 3 0 1 0
"49141" "A" 3 0 0 0
"49142" "A" 3 0 0 0
"49143" "A" 3 0 0 0
"49144" "D" 4 0 0 0
"49145" "D" 4 0 0 0
"49146" "A" 4 0 0 0
"49147" "A" 4 0 0 0
"49148" "A" 4 0 0 0
"49149" "D" 4 0 0 0
"49150" "D" 4 0 0 0
"49151" "D" 4 1 0 0
"49152" "D" 4 1 0 0
"49153" "D" 4 1 0 0
"49154" "D" 4 1 0 0
"49155" "A" 5 2 0 0
"49156" "A" 1 0 0 0
"49157" "A" 1 0 0 0
"49158" "A" 1 0 0 0
"49159" "A" 1 0 0 0
"49160" "A" 1 0 0 0
"49161" "A" 2 0 0 0
"49162" "A" 2 0 0 0
"49163" "A" 2 0 0 0
"49164" "A" 2 0 0 0
"49165" "A" 2 0 0 0
"49166" "A" 2 0 0 0
"49167" "A" 2 0 0 0
"49168" "A" 2 0 0 0
"49169" "A" 2 0 0 0
"49170" "A" 2 0 0 0
"49171" "A" 2 0 0 0
"49172" "A" 2 0 0 0
"49173" "A" 2 0 0 0
"49174" "A" 2 0 0 0
"49175" "A" 2 0 0 0
"49176" "A" 2 0 0 0
"49177" "A" 2 0 0 0
"49178" "A" 2 0 0 0
"49179" "A" 2 0 0 0
"49180" "A" 2 0 0 0
"49181" "A" 2 0 0 0
"49182" "A" 2 0 0 0
"49183" "A" 2 0 0 0
"49184" "A" 2 0 0 0
"49185" "A" 2 0 0 0
"49186" "A" 2 0 0 0
"49187" "A" 2 0 0 0
"49188" "A" 2 0 0 0
"49189" "A" 2 0 0 0
"49190" "A" 2 0 0 0
"49191" "A" 2 0 0 0
"49192" "A" 2 0 0 0
"49193" "A" 2 0 0 0
"49194" "A" 2 0 0 0
"49195" "F" 3 0 2 0
"49196" "D" 3 0 0 0
"49197" "D" 3 0 0 0
"49198" "A" 3 0 0 0
"49199" "D" 3 0 0 0
"49200" "A" 3 0 0 0
"49201" "D" 3 0 0 0
"49202" "A" 3 0 0 0
"49203" "D" 3 0 0 0
"49204" "A" 3 1 0 0
"49205" "D" 3 1 0 0
"49206" "D" 3 2 0 0
"49207" "A" 3 2 1 0
"49208" "D" 3 2 0 0
"49209" "D" 3 1 0 0
"49210" "D" 3 2 0 0
"49211" "A" 5 2 0 0
"49212" "A" 5 2 0 0
"49213" "F" 8 2 2 0
"49214" "A" 1 0 0 0
"49215" "A" 1 0 0 0
"49216" "A" 1 0 0 0
"49217" "A" 1 0 0 0
"49218" "A" 1 0 0 0
"49219" "A" 1 0 0 0
"49220" "D" 1 0 0 0
"49221" "A" 1 0 0 0
"49222" "A" 1 0 0 0
"49223" "B" 2 0 0 0
"49224" "A" 2 0 0 0
"49225" "A" 2 0 0 0
"49226" "B" 2 0 0 0
"49227" "A" 2 0 0 0
"49228" "A" 2 0 0 0
"49229" "A" 2 0 0 0
"49230" "B" 2 0 0 0
"49231" "A" 2 0 0 0
"49232" "A" 2 0 0 0
"49233" "A" 2 0 0 0
"49234" "A" 2 0 0 0
"49235" "D" 2 0 0 0
"49236" "B" 2 0 0 0
"49237" "D" 2 0 0 0
"49238" "A" 2 0 0 0
"49239" "A" 2 0 0 0
"49240" "F" 2 0 2 0
"49241" "A" 2 0 0 0
"49242" "A" 2 0 0 0
"49243" "A" 2 1 0 0
"49244" "A" 2 1 0 0
"49245" "A" 2 1 0 0
"49246" "D" 2 1 0 0
"49247" "A" 2 2 1 0
"49248" "A" 2 2 0 0
"49249" "A" 2 2 0 0
"49250" "A" 2 2 0 0
"49251" "A" 2 2 0 0
"49252" "D" 2 2 0 0
"49253" "D" 2 2 0 0
"49254" "D" 2 2 0 0
"49255" "A" 2 2 0 0
"49256" "A" 3 2 0 0
"49257" "A" 3 2 0 0
"49258" "A" 3 2 0 0
"49259" "A" 3 2 0 0
"49260" "A" 3 2 0 0
"49261" "A" 3 2 0 0
"49262" "A" 3 2 0 0
"49263" "A" 3 2 0 0
"49264" "D" 3 2 0 0
"49265" "A" 3 2 0 0
"49266" "A" 3 2 0 0
"49267" "A" 3 2 0 0
"49268" "A" 5 2 0 0
"49269" "D" 5 2 0 0
"49270" "A" 6 2 0 0
"49271" "F" 6 2 2 0
"49272" "A" 3 2 0 0
"49273" "A" 3 2 0 0
"49274" "A" 3 2 0 0
"49275" "A" 3 2 0 0
"49276" "A" 1 0 0 0
"49277" "D" 1 1 0 0
"49278" "D" 1 1 0 0
"49279" "D" 1 1 0 0
"49280" "A" 1 1 0 0
"49281" "A" 1 1 0 0
"49282" "A" 1 1 0 0
"49283" "B" 1 2 0 0
"49284" "D" 1 2 0 0
"49285" "A" 1 2 0 0
"49286" "A" 1 2 0 0
"49287" "A" 1 2 0 0
"49288" "B" 1 2 0 0
"49289" "A" 2 2 0 0
"49290" "D" 2 2 0 0
"49291" "A" 2 2 0 0
"49292" "A" 2 2 0 0
"49293" "D" 3 2 0 0
"49294" "D" 3 2 0 0
"49295" "A" 4 2 0 1
"49296" "D" 4 2 0 0
"49297" "A" 3 2 0 0
"49298" "D" 3 2 0 0
"49299" "D" 4 2 0 0
"49300" "A" 5 2 0 0
"49301" "A" 0 2 0 0
"49302" "D" 0 2 0 0
"49303" "A" 0 2 0 0
"49304" "A" 1 2 0 0
"49305" "A" 1 2 0 0
"49306" "A" 1 2 0 0
"49307" "A" 1 2 0 0
"49308" "A" 1 2 1 0
"49309" "A" 1 2 0 0
"49310" "A" 1 2 0 0
"49311" "A" 1 2 0 0
"49312" "A" 1 2 0 0
"49313" "A" 1 2 0 0
"49314" "A" 2 2 0 0
"49315" "D" 2 2 0 0
"49316" "D" 2 2 0 0
"49317" "A" 2 2 0 0
"49318" "A" 1 2 0 0
"49319" "D" 2 2 0 0
"49320" "D" 2 2 0 0
"49321" "A" 2 2 0 0
"49322" "E" 2 2 1 0
"49323" "A" 3 2 0 0
"49324" "D" 3 2 1 0
"49325" "A" 3 2 0 0
"49326" "D" 3 2 0 0
"49327" "D" 3 2 0 0
"49328" "A" 3 2 0 0
"49329" "D" 4 2 0 0
"49330" "D" 4 2 0 0
"49331" "D" 4 2 0 0
"49332" "F" 4 2 2 0
"49333" "D" 4 2 0 0
"49334" "D" 4 2 0 0
"49335" "D" 5 2 0 0
"49336" "D" 5 2 0 0
"49337" "A" 0 1 1 0
"49338" "A" 0 1 0 0
"49339" "A" 0 1 0 0
"49340" "A" 0 1 0 0
"49341" "A" 0 1 0 0
"49342" "A" 1 1 0 0
"49343" "F" 1 1 2 0
"49344" "A" 1 1 0 0
"49345" "A" 1 1 0 0
"49346" "A" 1 1 0 0
"49347" "A" 2 1 0 0
"49348" "D" 2 1 0 0
"49349" "A" 2 1 0 0
"49350" "D" 2 1 0 0
"49351" "D" 2 1 0 0
"49352" "A" 2 1 0 0
"49353" "A" 2 1 0 0
"49354" "D" 2 1 0 0
"49355" "A" 3 1 0 0
"49356" "A" 3 1 0 0
"49357" "A" 3 1 0 0
"49358" "A" 3 1 0 0
"49359" "A" 3 1 0 0
"49360" "D" 3 1 0 0
"49361" "A" 3 1 0 0
"49362" "A" 3 1 0 0
"49363" "A" 3 1 0 0
"49364" "A" 3 1 0 0
"49365" "D" 3 1 0 0
"49366" "A" 3 1 0 0
"49367" "A" 4 1 0 0
"49368" "A" 4 1 0 0
"49369" "A" 5 1 0 0
"49370" "A" 5 1 0 0
"49371" "D" 5 1 0 0
"49372" "A" 1 0 0 0
"49373" "A" 1 0 0 0
"49374" "A" 1 0 0 0
"49375" "A" 1 0 0 0
"49376" "A" 1 0 0 0
"49377" "A" 1 0 0 0
"49378" "A" 1 0 0 0
"49379" "A" 1 0 0 0
"49380" "A" 1 0 0 0
"49381" "A" 1 0 0 0
"49382" "A" 1 0 0 0
"49383" "A" 1 0 0 0
"49384" "D" 1 0 0 0
"49385" "A" 1 0 0 0
"49386" "A" 1 0 0 0
"49387" "A" 1 0 0 0
"49388" "A" 2 0 0 0
"49389" "A" 2 0 0 0
"49390" "A" 3 0 0 0
"49391" "A" 3 0 0 0
"49392" "A" 3 0 0 0
"49393" "A" 3 0 0 0
"49394" "A" 3 0 0 0
"49395" "A" 3 0 0 0
"49396" "F" 3 0 2 0
"49397" "A" 3 0 0 0
"49398" "A" 3 0 0 0
"49399" "A" 3 0 0 0
"49400" "A" 3 0 0 0
"49401" "A" 4 0 0 0
"49402" "A" 4 0 0 0
"49403" "A" 4 0 0 0
"49404" "B" 5 0 2 0
"49405" "D" 5 0 0 0
"49406" "D" 5 0 0 0
"49407" "D" 4 0 0 0
"49408" "D" 4 0 0 0
"49409" "B" 5 0 0 0
"49410" "A" 5 1 0 0
"49411" "D" 5 2 0 0
"49412" "A" 6 2 0 0
"49413" "A" 6 2 0 0
"49414" "D" 1 0 0 0
"49415" "A" 1 0 0 0
"49416" "A" 1 0 0 0
"49417" "A" 2 0 0 0
"49418" "A" 2 0 0 0
"49419" "A" 2 0 0 0
"49420" "A" 2 0 0 0
"49421" "D" 3 0 0 0
"49422" "A" 3 0 0 0
"49423" "A" 3 0 0 0
"49424" "D" 3 0 0 0
"49425" "D" 3 0 0 0
"49426" "A" 4 0 0 0
"49427" "A" 4 0 0 0
"49428" "A" 4 0 0 0
"49429" "A" 4 0 0 0
"49430" "D" 4 0 0 0
"49431" "A" 4 0 0 0
"49432" "F" 4 0 2 0
"49433" "F" 4 1 2 0
"49434" "A" 5 2 0 0
"49435" "A" 5 2 0 0
"49436" "A" 15 6 0 0
"49437" "A" 1 0 0 0
"49438" "A" 1 0 0 0
"49439" "A" 1 0 0 0
"49440" "A" 1 0 0 0
"49441" "A" 2 0 0 0
"49442" "A" 2 0 0 0
"49443" "A" 2 0 0 0
"49444" "A" 2 0 0 0
"49445" "A" 2 0 1 0
"49446" "A" 2 0 0 0
"49447" "A" 2 0 0 0
"49448" "A" 2 0 0 0
"49449" "D" 2 0 0 0
"49450" "A" 2 0 0 0
"49451" "A" 2 0 0 0
"49452" "A" 2 0 0 0
"49453" "A" 1 0 0 0
"49454" "A" 1 0 0 0
"49455" "D" 1 0 0 0
"49456" "A" 1 0 0 0
"49457" "A" 1 0 0 0
"49458" "A" 2 0 0 0
"49459" "A" 2 0 0 0
"49460" "A" 2 0 0 0
"49461" "A" 2 0 0 0
"49462" "A" 2 0 0 0
"49463" "A" 2 0 0 0
"49464" "A" 2 0 0 0
"49465" "A" 2 0 0 0
"49466" "A" 2 0 0 0
"49467" "A" 2 0 0 0
"49468" "A" 2 0 0 0
"49469" "A" 2 0 0 0
"49470" "D" 2 0 0 0
"49471" "A" 2 0 0 0
"49472" "A" 2 0 0 0
"49473" "A" 2 0 0 0
"49474" "A" 2 0 0 0
"49475" "A" 2 0 0 0
"49476" "A" 2 0 0 0
"49477" "A" 2 0 0 0
"49478" "A" 2 0 0 0
"49479" "A" 2 0 0 0
"49480" "A" 3 0 0 0
"49481" "A" 3 0 0 0
"49482" "A" 3 0 0 0
"49483" "A" 1 0 0 0
"49484" "A" 3 0 0 0
"49485" "A" 3 0 0 0
"49486" "A" 3 0 0 0
"49487" "D" 3 0 0 0
"49488" "A" 3 0 0 0
"49489" "A" 3 0 0 0
"49490" "A" 3 0 0 0
"49491" "A" 3 0 0 0
"49492" "A" 3 0 0 0
"49493" "A" 3 0 0 0
"49494" "A" 3 0 0 0
"49495" "A" 3 0 0 0
"49496" "D" 3 0 0 0
"49497" "A" 3 0 0 0
"49498" "A" 3 0 0 0
"49499" "A" 3 0 0 0
"49500" "A" 3 0 0 0
"49501" "A" 3 0 0 0
"49502" "A" 3 0 0 0
"49503" "A" 3 0 0 0
"49504" "A" 3 0 0 0
"49505" "A" 3 0 0 0
"49506" "A" 3 0 0 0
"49507" "A" 3 0 0 0
"49508" "A" 3 0 0 0
"49509" "D" 3 0 0 0
"49510" "A" 3 0 0 0
"49511" "A" 3 0 0 0
"49512" "A" 3 0 0 0
"49513" "A" 3 0 0 0
"49514" "A" 3 0 0 0
"49515" "A" 3 0 0 0
"49516" "A" 3 0 0 0
"49517" "D" 3 0 0 0
"49518" "A" 3 0 0 0
"49519" "A" 3 0 0 0
"49520" "A" 3 0 0 0
"49521" "A" 3 0 0 0
"49522" "F" 3 0 2 0
"49523" "A" 3 0 0 0
"49524" "A" 3 0 0 0
"49525" "A" 3 0 0 0
"49526" "A" 3 0 0 0
"49527" "A" 3 0 0 0
"49528" "D" 3 0 0 0
"49529" "A" 3 0 0 0
"49530" "A" 3 0 0 0
"49531" "A" 3 0 0 0
"49532" "A" 3 0 0 0
"49533" "A" 3 0 0 0
"49534" "A" 3 0 0 0
"49535" "A" 3 0 0 0
"49536" "A" 3 0 0 0
"49537" "A" 3 0 0 0
"49538" "A" 3 0 0 0
"49539" "A" 3 0 0 0
"49540" "A" 3 0 0 0
"49541" "A" 3 0 0 0
"49542" "A" 3 0 0 0
"49543" "A" 3 0 0 0
"49544" "A" 3 1 0 0
"49545" "A" 3 1 0 0
"49546" "D" 3 1 0 0
"49547" "A" 3 1 0 0
"49548" "A" 3 1 0 0
"49549" "B" 3 1 0 0
"49550" "D" 3 1 0 0
"49551" "F" 3 0 2 0
"49552" "A" 3 0 0 0
"49553" "B" 3 1 0 0
"49554" "A" 3 1 0 0
"49555" "D" 3 1 0 0
"49556" "A" 3 1 0 0
"49557" "D" 3 2 0 0
"49558" "A" 4 2 1 0
"49559" "D" 5 2 0 0
"49560" "D" 5 2 0 0
"49561" "A" 2 0 0 0
"49562" "A" 2 0 0 0
"49563" "A" 2 0 0 0
"49564" "A" 2 0 0 0
"49565" "D" 2 0 0 0
"49566" "D" 2 0 0 0
"49567" "D" 2 0 0 0
"49568" "A" 2 0 0 0
"49569" "A" 2 0 0 0
"49570" "A" 2 0 0 0
"49571" "A" 2 0 0 0
"49572" "A" 2 0 0 0
"49573" "D" 2 0 0 0
"49574" "D" 2 0 0 0
"49575" "A" 2 0 0 0
"49576" "D" 2 0 0 0
"49577" "A" 2 0 0 0
"49578" "A" 2 0 0 0
"49579" "A" 2 0 0 0
"49580" "A" 2 0 0 0
"49581" "D" 2 0 0 0
"49582" "A" 2 0 0 0
"49583" "A" 2 0 0 0
"49584" "D" 2 0 0 0
"49585" "A" 2 0 0 0
"49586" "A" 2 0 0 0
"49587" "A" 2 0 0 0
"49588" "A" 2 1 0 0
"49589" "A" 2 1 0 0
"49590" "D" 2 1 0 0
"49591" "A" 2 1 0 0
"49592" "D" 2 1 0 0
"49593" "A" 2 1 0 0
"49594" "A" 2 1 0 0
"49595" "A" 2 1 0 0
"49596" "A" 2 2 0 0
"49597" "A" 2 2 0 0
"49598" "A" 2 2 0 0
"49599" "A" 2 2 0 0
"49600" "D" 2 2 0 0
"49601" "A" 2 2 0 0
"49602" "A" 2 2 0 0
"49603" "F" 2 2 0 0
"49604" "D" 2 2 0 0
"49605" "A" 3 2 0 0
"49606" "A" 3 2 0 0
"49607" "D" 4 2 0 0
"49608" "A" 5 2 0 0
"49609" "D" 5 2 0 0
"49610" "D" 6 2 0 0
"49611" "A" 7 3 0 0
"49612" "A" 3 2 0 0
"49613" "D" 3 2 0 0
"49614" "A" 1 0 1 0
"49615" "A" 1 0 1 0
"49616" "A" 1 0 0 0
"49617" "A" 1 0 0 0
"49618" "A" 1 0 0 0
"49619" "D" 1 0 0 0
"49620" "D" 1 1 0 0
"49621" "D" 1 1 0 0
"49622" "A" 1 1 0 0
"49623" "F" 1 2 2 0
"49624" "A" 1 2 0 0
"49625" "A" 1 1 0 0
"49626" "A" 1 2 1 0
"49627" "D" 1 2 0 0
"49628" "E" 1 2 2 0
"49629" "F" 1 2 2 0
"49630" "A" 1 2 0 0
"49631" "A" 1 2 0 0
"49632" "D" 1 2 0 0
"49633" "A" 1 2 0 0
"49634" "A" 1 2 1 0
"49635" "B" 2 2 0 0
"49636" "D" 2 2 0 0
"49637" "D" 2 2 0 0
"49638" "A" 2 2 0 0
"49639" "D" 2 2 0 0
"49640" "B" 2 2 0 0
"49641" "B" 2 2 0 0
"49642" "G" 2 2 0 0
"49643" "B" 2 2 0 0
"49644" "A" 2 2 1 0
"49645" "A" 3 2 0 0
"49646" "A" 3 2 0 0
"49647" "A" 3 2 0 0
"49648" "D" 4 2 0 0
"49649" "D" 5 2 0 0
"49650" "F" 5 2 2 0
"49651" "A" 3 2 0 0
"49652" "A" 0 1 0 0
"49653" "A" 0 1 0 0
"49654" "A" 0 1 0 0
"49655" "A" 0 2 0 0
"49656" "D" 0 2 0 0
"49657" "A" 0 2 0 0
"49658" "A" 0 2 0 0
"49659" "A" 0 2 0 0
"49660" "A" 0 2 0 0
"49661" "A" 0 2 0 0
"49662" "A" 0 2 0 0
"49663" "A" 0 1 0 0
"49664" "D" 0 1 0 0
"49665" "A" 0 2 0 0
"49666" "A" 0 2 0 0
"49667" "A" 0 2 0 0
"49668" "A" 0 2 0 0
"49669" "A" 0 2 0 0
"49670" "A" 0 2 0 0
"49671" "A" 0 2 0 0
"49672" "A" 0 2 0 0
"49673" "A" 0 2 0 0
"49674" "A" 0 2 0 0
"49675" "A" 0 2 0 0
"49676" "A" 0 2 0 0
"49677" "A" 0 2 0 0
"49678" "A" 0 2 0 0
"49679" "A" 0 2 0 0
"49680" "A" 0 2 0 0
"49681" "A" 0 2 0 0
"49682" "A" 0 2 0 0
"49683" "A" 0 2 0 0
"49684" "A" 0 2 0 0
"49685" "A" 0 2 0 0
"49686" "A" 0 2 0 0
"49687" "A" 0 2 0 0
"49688" "A" 0 2 0 0
"49689" "A" 1 2 0 0
"49690" "A" 1 2 0 0
"49691" "D" 1 2 0 0
"49692" "A" 1 2 0 0
"49693" "D" 1 2 0 0
"49694" "A" 1 2 0 0
"49695" "A" 1 2 1 0
"49696" "A" 1 2 0 0
"49697" "A" 1 2 0 0
"49698" "D" 1 2 0 0
"49699" "A" 1 2 0 0
"49700" "A" 1 2 0 0
"49701" "A" 1 2 0 0
"49702" "A" 2 2 0 0
"49703" "A" 2 2 0 0
"49704" "D" 2 2 0 0
"49705" "D" 2 2 0 0
"49706" "D" 2 2 1 0
"49707" "D" 2 2 0 0
"49708" "A" 2 2 0 0
"49709" "A" 2 2 0 0
"49710" "A" 3 2 0 0
"49711" "A" 3 2 0 0
"49712" "D" 5 2 0 0
"49713" "D" 5 2 0 0
"49714" "A" 0 1 0 0
"49715" "A" 0 1 0 0
"49716" "A" 0 1 0 0
"49717" "A" 0 1 0 0
"49718" "A" 0 1 0 0
"49719" "A" 0 1 0 0
"49720" "A" 1 1 0 0
"49721" "A" 1 1 0 0
"49722" "A" 1 1 0 0
"49723" "A" 1 1 0 0
"49724" "A" 2 1 0 0
"49725" "A" 2 1 0 0
"49726" "A" 3 1 0 0
"49727" "D" 3 1 0 0
"49728" "A" 3 1 0 0
"49729" "A" 3 1 0 0
"49730" "D" 3 1 0 0
"49731" "A" 3 1 0 0
"49732" "A" 3 1 0 0
"49733" "A" 3 1 0 0
"49734" "A" 3 1 0 0
"49735" "F" 3 1 2 0
"49736" "A" 3 1 0 0
"49737" "A" 3 1 0 0
"49738" "A" 3 1 0 0
"49739" "A" 3 1 0 0
"49740" "F" 3 1 2 0
"49741" "A" 3 1 0 0
"49742" "B" 4 1 0 0
"49743" "A" 4 1 0 0
"49744" "B" 4 1 0 0
"49745" "A" 4 1 0 0
"49746" "A" 1 0 0 0
"49747" "A" 1 0 0 0
"49748" "A" 1 0 0 0
"49749" "A" 1 0 0 0
"49750" "A" 1 0 0 0
"49751" "A" 2 0 0 0
"49752" "A" 2 0 0 0
"49753" "A" 2 0 0 0
"49754" "A" 2 0 0 0
"49755" "D" 2 0 0 0
"49756" "A" 2 0 0 0
"49757" "A" 2 0 0 0
"49758" "A" 2 0 0 0
"49759" "A" 2 0 0 0
"49760" "A" 2 0 0 0
"49761" "A" 2 0 0 0
"49762" "A" 2 0 0 0
"49763" "A" 2 0 0 0
"49764" "A" 2 0 0 0
"49765" "A" 2 0 0 0
"49766" "A" 2 0 0 0
"49767" "A" 2 0 0 0
"49768" "A" 2 0 0 0
"49769" "A" 2 0 0 0
"49770" "A" 2 0 0 0
"49771" "A" 2 0 0 0
"49772" "A" 2 0 0 0
"49773" "A" 2 0 0 0
"49774" "A" 2 0 0 0
"49775" "A" 2 0 0 0
"49776" "A" 2 0 0 0
"49777" "A" 2 0 0 0
"49778" "A" 2 0 0 0
"49779" "A" 2 0 0 0
"49780" "A" 2 0 0 0
"49781" "A" 2 0 0 0
"49782" "A" 2 0 0 0
"49783" "A" 2 0 0 0
"49784" "A" 2 0 0 0
"49785" "A" 2 0 0 0
"49786" "A" 2 0 0 0
"49787" "A" 2 0 0 0
"49788" "A" 2 0 0 0
"49789" "A" 2 0 0 0
"49790" "A" 2 0 0 0
"49791" "A" 2 0 0 0
"49792" "A" 2 0 0 0
"49793" "A" 2 0 0 0
"49794" "A" 2 0 0 0
"49795" "A" 2 0 0 0
"49796" "A" 2 0 0 0
"49797" "A" 2 0 0 0
"49798" "A" 2 0 0 0
"49799" "A" 2 0 0 0
"49800" "A" 2 0 0 0
"49801" "A" 2 0 0 0
"49802" "A" 2 0 0 0
"49803" "A" 1 0 0 0
"49804" "A" 2 0 0 0
"49805" "A" 3 0 0 0
"49806" "D" 4 0 0 0
"49807" "D" 4 0 0 0
"49808" "A" 4 0 0 0
"49809" "A" 4 0 0 0
"49810" "A" 5 1 0 0
"49811" "F" 1 0 2 0
"49812" "A" 2 0 0 0
"49813" "A" 2 0 0 0
"49814" "D" 2 0 0 0
"49815" "D" 2 0 0 0
"49816" "A" 2 0 0 0
"49817" "F" 3 0 2 0
"49818" "A" 4 0 0 0
"49819" "A" 4 0 0 0
"49820" "A" 4 0 0 0
"49821" "A" 4 0 0 0
"49822" "A" 4 0 0 0
"49823" "A" 4 0 0 0
"49824" "A" 4 0 0 0
"49825" "A" 4 0 0 0
"49826" "A" 4 0 0 0
"49827" "A" 4 0 0 0
"49828" "A" 4 0 0 0
"49829" "A" 4 0 0 0
"49830" "A" 4 0 0 0
"49831" "A" 4 0 0 0
"49832" "A" 4 0 0 0
"49833" "A" 4 0 0 0
"49834" "A" 4 0 0 0
"49835" "A" 4 0 0 0
"49836" "A" 4 0 0 0
"49837" "A" 4 0 0 0
"49838" "A" 4 0 0 0
"49839" "A" 4 0 0 0
"49840" "A" 4 0 0 0
"49841" "A" 4 0 0 0
"49842" "D" 4 0 0 0
"49843" "A" 4 0 0 0
"49844" "A" 4 0 0 0
"49845" "A" 4 0 0 0
"49846" "A" 4 0 0 0
"49847" "A" 4 0 0 0
"49848" "A" 4 0 0 0
"49849" "A" 4 0 0 0
"49850" "A" 4 0 0 0
"49851" "A" 4 0 0 0
"49852" "A" 4 0 0 0
"49853" "A" 4 0 0 0
"49854" "A" 4 0 0 0
"49855" "A" 4 0 0 0
"49856" "A" 4 0 0 0
"49857" "A" 4 0 0 0
"49858" "A" 4 0 0 0
"49859" "A" 4 0 0 0
"49860" "A" 4 0 0 0
"49861" "A" 4 0 0 0
"49862" "A" 4 0 0 0
"49863" "A" 4 0 0 0
"49864" "A" 4 0 0 0
"49865" "A" 4 0 0 0
"49866" "D" 2 0 0 0
"49867" "A" 2 0 0 0
"49868" "D" 2 0 0 0
"49869" "D" 2 0 0 0
"49870" "A" 2 0 0 0
"49871" "A" 2 0 0 0
"49872" "A" 2 0 0 0
"49873" "A" 4 0 0 0
"49874" "A" 4 0 0 0
"49875" "A" 4 0 0 0
"49876" "A" 4 0 0 0
"49877" "A" 4 0 0 0
"49878" "A" 4 0 0 0
"49879" "D" 4 0 0 0
"49880" "A" 4 0 0 0
"49881" "A" 4 0 0 0
"49882" "A" 4 0 0 0
"49883" "A" 4 0 0 0
"49884" "A" 4 0 0 0
"49885" "A" 4 0 0 0
"49886" "A" 4 0 0 0
"49887" "A" 4 0 0 0
"49888" "A" 4 0 0 0
"49889" "A" 4 0 0 0
"49890" "A" 4 0 0 0
"49891" "A" 4 0 0 0
"49892" "A" 4 0 0 0
"49893" "A" 4 0 0 0
"49894" "A" 4 0 0 0
"49895" "A" 4 0 0 0
"49896" "A" 4 0 0 0
"49897" "A" 4 0 0 0
"49898" "A" 4 0 0 0
"49899" "A" 4 0 0 0
"49900" "A" 4 0 0 0
"49901" "A" 4 0 0 0
"49902" "A" 4 0 0 0
"49903" "A" 4 0 0 0
"49904" "A" 4 0 0 0
"49905" "A" 4 0 0 0
"49906" "A" 4 0 0 0
"49907" "A" 4 0 0 0
"49908" "A" 4 0 0 0
"49909" "A" 4 0 0 0
"49910" "A" 4 0 0 0
"49911" "A" 4 0 0 0
"49912" "A" 4 0 0 0
"49913" "A" 4 0 0 0
"49914" "A" 4 0 0 0
"49915" "A" 4 0 0 0
"49916" "A" 4 0 0 0
"49917" "A" 4 0 0 0
"49918" "A" 4 0 0 0
"49919" "A" 4 0 0 0
"49920" "A" 4 0 0 0
"49921" "A" 4 0 0 0
"49922" "A" 4 0 0 0
"49923" "D" 4 1 0 0
"49924" "D" 4 1 0 0
"49925" "A" 4 1 0 0
"49926" "D" 3 0 0 0
"49927" "A" 9 2 0 0
"49928" "A" 1 0 0 0
"49929" "D" 1 0 0 0
"49930" "A" 1 0 0 0
"49931" "A" 1 0 0 0
"49932" "D" 1 0 0 0
"49933" "D" 1 0 0 0
"49934" "A" 1 0 0 0
"49935" "A" 1 0 0 0
"49936" "A" 2 0 0 0
"49937" "A" 2 0 0 0
"49938" "A" 2 0 0 0
"49939" "A" 2 0 0 0
"49940" "A" 2 0 0 0
"49941" "A" 2 0 0 0
"49942" "A" 2 0 0 0
"49943" "A" 2 0 0 0
"49944" "A" 2 0 0 0
"49945" "A" 2 0 0 0
"49946" "A" 2 0 0 0
"49947" "A" 2 0 0 0
"49948" "A" 2 0 0 0
"49949" "A" 2 0 0 0
"49950" "A" 2 0 0 0
"49951" "A" 2 0 0 0
"49952" "A" 2 0 0 0
"49953" "A" 2 0 0 0
"49954" "A" 2 0 0 0
"49955" "A" 2 0 0 0
"49956" "A" 2 0 0 0
"49957" "A" 2 0 0 0
"49958" "A" 2 0 0 0
"49959" "A" 2 0 0 0
"49960" "A" 2 0 0 0
"49961" "D" 2 0 0 0
"49962" "A" 2 0 0 0
"49963" "A" 2 0 0 0
"49964" "D" 2 0 0 0
"49965" "A" 2 0 0 0
"49966" "A" 2 0 0 0
"49967" "A" 2 0 0 0
"49968" "A" 2 0 0 0
"49969" "A" 2 0 0 0
"49970" "A" 3 0 0 0
"49971" "G" 3 0 2 0
"49972" "D" 3 0 0 0
"49973" "D" 3 1 1 0
"49974" "A" 3 1 0 0
"49975" "F" 3 1 2 0
